Orthogroup	Duplications (all)	Duplications (50% support)
OG0003057	2	2
OG0003058	1	1
OG0003059	1	1
OG0003060	24	14
OG0003061	2	1
OG0003062	23	21
OG0003063	26	23
OG0003064	1	1
OG0003065	1	1
OG0003066	1	1
OG0003067	1	1
OG0003068	1	1
OG0003069	1	0
OG0003070	1	1
OG0003071	1	0
OG0003072	1	1
OG0003073	1	1
OG0003074	1	1
OG0003075	2	2
OG0003076	2	1
OG0003077	2	2
OG0003078	1	1
OG0003079	1	1
OG0003080	1	0
OG0003081	0	0
OG0003082	1	1
OG0003083	1	1
OG0003084	1	1
OG0003085	1	1
OG0003086	1	1
OG0003087	1	1
OG0003088	1	1
OG0003089	1	1
OG0003090	1	1
OG0003091	1	1
OG0003092	2	1
OG0003093	1	1
OG0003094	1	1
OG0003095	1	1
OG0003096	2	2
OG0003097	1	1
OG0003098	1	1
OG0003099	1	1
OG0003100	1	1
OG0003101	1	1
OG0003102	1	1
OG0003103	2	1
OG0003104	2	2
OG0003105	2	2
OG0003106	1	0
OG0003107	1	1
OG0003108	1	0
OG0003109	1	1
OG0003110	2	2
OG0003111	1	1
OG0003112	1	1
OG0003113	1	1
OG0003114	1	1
OG0003115	1	0
OG0003116	1	1
OG0003117	1	1
OG0003118	1	1
OG0003119	1	0
OG0003120	1	1
OG0003121	1	0
OG0003122	1	1
OG0003123	1	1
OG0003124	1	1
OG0003125	1	1
OG0003126	1	1
OG0003127	1	1
OG0003128	1	1
OG0003129	1	1
OG0003130	1	1
OG0003131	1	1
OG0003132	0	0
OG0003133	2	2
OG0003134	1	1
OG0003135	1	1
OG0003136	2	1
OG0003137	3	3
OG0003138	1	1
OG0003139	1	1
OG0003140	1	1
OG0003141	1	1
OG0003142	1	1
OG0003143	3	2
OG0003144	1	0
OG0003145	1	1
OG0003146	1	1
OG0003147	2	2
OG0003148	1	1
OG0003149	1	1
OG0003150	1	1
OG0003151	1	1
OG0003152	1	1
OG0003153	1	1
OG0003154	1	1
OG0003155	1	1
OG0003156	1	1
OG0003157	1	1
OG0003158	1	1
OG0003159	1	1
OG0003160	1	1
OG0003161	1	1
OG0003162	1	1
OG0003163	1	0
OG0003164	1	1
OG0003165	1	1
OG0003166	1	1
OG0003167	1	1
OG0003168	2	2
OG0003169	2	2
OG0003170	1	0
OG0003171	1	0
OG0003172	1	1
OG0003173	1	0
OG0003174	1	1
OG0003175	1	1
OG0003176	1	1
OG0003177	1	1
OG0003178	2	2
OG0003179	2	2
OG0003180	1	1
OG0003181	1	1
OG0003182	1	1
OG0003183	1	1
OG0003184	1	1
OG0003185	1	1
OG0003186	1	1
OG0003187	1	1
OG0003188	1	1
OG0003189	2	2
OG0003190	1	1
OG0003191	1	1
OG0003192	1	0
OG0003193	1	1
OG0003194	2	2
OG0003195	2	2
OG0003196	1	1
OG0003197	1	1
OG0003198	1	0
OG0003199	1	1
OG0003200	1	1
OG0003201	1	1
OG0003202	1	1
OG0003203	1	1
OG0003204	1	1
OG0003205	0	0
OG0003206	1	1
OG0003207	0	0
OG0003208	1	1
OG0003209	2	2
OG0003210	1	1
OG0003211	1	1
OG0003212	2	1
OG0003213	0	0
OG0003214	1	1
OG0003215	1	1
OG0003216	2	2
OG0003217	2	2
OG0003218	1	1
OG0003219	1	1
OG0003220	1	1
OG0003221	3	3
OG0003222	1	1
OG0003223	2	2
OG0003224	1	1
OG0003225	1	1
OG0003226	1	1
OG0003227	5	4
OG0003228	2	2
OG0003229	2	0
OG0003230	1	1
OG0003231	1	1
OG0003232	1	1
OG0003233	1	1
OG0003234	0	0
OG0003235	1	1
OG0003236	0	0
OG0003237	1	1
OG0003238	0	0
OG0003239	1	1
OG0003240	1	1
OG0003241	1	0
OG0003242	1	1
OG0003243	1	1
OG0003244	1	1
OG0003245	1	1
OG0003246	1	1
OG0003247	1	1
OG0003248	1	1
OG0003249	1	0
OG0003250	1	1
OG0003251	1	1
OG0003252	2	2
OG0003253	1	1
OG0003254	1	1
OG0003255	1	0
OG0003256	1	1
OG0003257	1	1
OG0003258	1	1
OG0003259	1	1
OG0003260	1	1
OG0003261	1	1
OG0003262	1	1
OG0003263	1	1
OG0003264	1	1
OG0003265	1	1
OG0003266	1	1
OG0003267	1	1
OG0003268	1	1
OG0003269	2	2
OG0003270	1	1
OG0003271	1	1
OG0003272	1	1
OG0003273	2	2
OG0003274	2	2
OG0003275	1	1
OG0003276	1	1
OG0003277	1	1
OG0003278	1	1
OG0003279	2	2
OG0003280	2	2
OG0003281	2	2
OG0003282	1	1
OG0003283	1	1
OG0003284	2	2
OG0003285	1	1
OG0003286	1	1
OG0003287	1	1
OG0003288	1	1
OG0003289	1	1
OG0003290	1	1
OG0003291	1	1
OG0003292	2	2
OG0003293	2	2
OG0003294	1	1
OG0003295	1	0
OG0003296	1	1
OG0003297	1	1
OG0003298	1	1
OG0003299	1	1
OG0003300	2	2
OG0003301	1	1
OG0003302	1	1
OG0003303	1	1
OG0003304	1	1
OG0003305	1	1
OG0003306	1	1
OG0003307	1	1
OG0003308	1	1
OG0003309	2	2
OG0003310	1	0
OG0003311	1	0
OG0003312	1	0
OG0003313	1	0
OG0003314	1	1
OG0003315	1	1
OG0003316	1	1
OG0003317	1	1
OG0003318	1	1
OG0003319	1	1
OG0003320	0	0
OG0003321	1	1
OG0003322	1	1
OG0003323	1	1
OG0003324	2	2
OG0003325	1	1
OG0003326	3	2
OG0003327	1	1
OG0003328	1	1
OG0003329	1	1
OG0003330	1	1
OG0003331	1	1
OG0003332	1	1
OG0003333	1	0
OG0003334	1	1
OG0003335	2	2
OG0003336	1	1
OG0003337	1	1
OG0003338	1	1
OG0003339	1	0
OG0003340	2	2
OG0003341	2	2
OG0003342	1	1
OG0003343	1	1
OG0003344	1	0
OG0003345	1	0
OG0003346	1	1
OG0003347	1	1
OG0003348	1	1
OG0003349	1	1
OG0003350	1	1
OG0003351	1	1
OG0003352	1	1
OG0003353	1	1
OG0003354	1	0
OG0003355	1	1
OG0003356	1	1
OG0003357	1	1
OG0003358	1	1
OG0003359	1	1
OG0003360	1	1
OG0003361	1	0
OG0003362	1	1
OG0003363	1	1
OG0003364	3	2
OG0003365	1	1
OG0003366	2	2
OG0003367	1	1
OG0003368	0	0
OG0003369	2	2
OG0003370	1	1
OG0003371	1	1
OG0003372	2	2
OG0003373	1	1
OG0003374	1	1
OG0003375	1	1
OG0003376	1	0
OG0003377	1	1
OG0003378	1	1
OG0003379	1	1
OG0003380	1	1
OG0003381	1	1
OG0003382	0	0
OG0003383	1	1
OG0003384	1	0
OG0003385	1	1
OG0003386	1	0
OG0003387	1	1
OG0003388	1	1
OG0003389	1	1
OG0003390	1	1
OG0003391	1	1
OG0003392	0	0
OG0003393	1	1
OG0003394	1	1
OG0003395	2	2
OG0003396	2	2
OG0003397	1	1
OG0003398	1	1
OG0003399	1	1
OG0003400	2	2
OG0003401	0	0
OG0003402	2	2
OG0003403	1	1
OG0003404	1	1
OG0003405	1	1
OG0003406	1	1
OG0003407	1	1
OG0003408	1	1
OG0003409	1	1
OG0003410	1	1
OG0003411	1	1
OG0003412	1	1
OG0003413	2	2
OG0003414	1	1
OG0003415	0	0
OG0003416	1	0
OG0003417	0	0
OG0003418	1	1
OG0003419	1	1
OG0003420	2	1
OG0003421	1	0
OG0003422	2	1
OG0003423	2	2
OG0003424	2	2
OG0003425	2	2
OG0003426	2	2
OG0003427	1	1
OG0003428	2	1
OG0003429	1	1
OG0003430	1	1
OG0003431	2	2
OG0003432	1	0
OG0003433	1	1
OG0003434	1	1
OG0003435	1	1
OG0003436	1	1
OG0003437	1	1
OG0003438	1	1
OG0003439	2	2
OG0003440	1	0
OG0003441	1	1
OG0003442	1	1
OG0003443	1	1
OG0003444	1	1
OG0003445	1	0
OG0003446	1	1
OG0003447	2	2
OG0003448	1	1
OG0003449	1	1
OG0003450	2	2
OG0003451	1	1
OG0003452	1	1
OG0003453	1	1
OG0003454	1	1
OG0003455	2	2
OG0003456	1	1
OG0003457	1	0
OG0003458	1	1
OG0003459	1	1
OG0003460	1	1
OG0003461	1	1
OG0003462	1	1
OG0003463	1	1
OG0003464	2	1
OG0003465	1	1
OG0003466	2	2
OG0003467	1	1
OG0003468	0	0
OG0003469	1	1
OG0003470	2	2
OG0003471	1	1
OG0003472	1	1
OG0003473	1	1
OG0003474	0	0
OG0003475	1	1
OG0003476	1	1
OG0003477	1	1
OG0003478	2	2
OG0003479	0	0
OG0003480	1	1
OG0003481	1	1
OG0003482	1	1
OG0003483	1	1
OG0003484	1	1
OG0003485	1	1
OG0003486	1	1
OG0003487	1	1
OG0003488	1	1
OG0003489	1	1
OG0003490	1	1
OG0003491	1	1
OG0003492	1	1
OG0003493	1	1
OG0003494	1	1
OG0003495	1	1
OG0003496	2	1
OG0003497	1	1
OG0003498	1	1
OG0003499	1	1
OG0003500	1	1
OG0003501	1	1
OG0003502	1	1
OG0003503	1	1
OG0003504	1	1
OG0003505	1	0
OG0003506	1	1
OG0003507	1	1
OG0003508	1	1
OG0003509	1	1
OG0003510	1	1
OG0003511	0	0
OG0003512	1	0
OG0003513	1	1
OG0003514	1	1
OG0003515	1	0
OG0003516	1	1
OG0003517	1	1
OG0003518	0	0
OG0003519	1	1
OG0003520	1	1
OG0003521	1	1
OG0003522	1	1
OG0003523	0	0
OG0003524	2	2
OG0003525	1	1
OG0003526	1	1
OG0003527	1	1
OG0003528	1	1
OG0003529	1	0
OG0003530	1	1
OG0003531	1	1
OG0003532	4	3
OG0003533	0	0
OG0003534	1	1
OG0003535	1	1
OG0003536	2	1
OG0003537	1	1
OG0003538	1	1
OG0003539	2	2
OG0003540	2	1
OG0003541	1	1
OG0003542	2	2
OG0003543	2	2
OG0003544	1	1
OG0003545	2	2
OG0003546	1	1
OG0003547	1	0
OG0003548	0	0
OG0003549	1	1
OG0003550	1	1
OG0003551	1	1
OG0003552	1	1
OG0003553	1	1
OG0003554	1	1
OG0003555	1	1
OG0003556	1	1
OG0003557	1	1
OG0003558	1	1
OG0003559	1	1
OG0003560	1	1
OG0003561	1	1
OG0003562	1	1
OG0003563	1	1
OG0003564	2	2
OG0003565	1	1
OG0003566	1	1
OG0003567	1	1
OG0003568	1	0
OG0003569	1	1
OG0003570	1	1
OG0003571	1	1
OG0003572	1	1
OG0003573	1	1
OG0003574	1	1
OG0003575	1	1
OG0003576	1	0
OG0003577	2	2
OG0003578	1	1
OG0003579	1	1
OG0003580	1	0
OG0003581	1	1
OG0003582	1	1
OG0003583	1	0
OG0003584	1	1
OG0003585	1	1
OG0003586	1	1
OG0003587	1	1
OG0003588	1	1
OG0003589	1	1
OG0003590	1	1
OG0003591	1	1
OG0003592	1	1
OG0003593	1	1
OG0003594	1	1
OG0003595	1	1
OG0003596	1	1
OG0003597	1	0
OG0003598	1	0
OG0003599	1	1
OG0003600	1	0
OG0003601	1	1
OG0003602	1	0
OG0003603	1	1
OG0003604	2	2
OG0003605	1	1
OG0003606	1	1
OG0003607	1	1
OG0003608	1	1
OG0003609	0	0
OG0003610	1	1
OG0003611	1	1
OG0003612	1	1
OG0003613	1	1
OG0003614	1	1
OG0003615	1	1
OG0003616	1	1
OG0003617	2	2
OG0003618	1	1
OG0003619	1	1
OG0003620	1	1
OG0003621	1	1
OG0003622	1	1
OG0003623	1	1
OG0003624	1	1
OG0003625	1	1
OG0003626	1	1
OG0003627	1	1
OG0003628	2	2
OG0003629	1	0
OG0003630	1	1
OG0003631	1	0
OG0003632	1	1
OG0003633	2	2
OG0003634	1	1
OG0003635	1	1
OG0003636	1	1
OG0003637	0	0
OG0003638	1	1
OG0003639	1	1
OG0003640	1	1
OG0003641	1	0
OG0003642	1	1
OG0003643	1	1
OG0003644	1	0
OG0003645	1	1
OG0003646	1	1
OG0003647	1	0
OG0003648	2	0
OG0003649	1	1
OG0003650	1	0
OG0003651	1	0
OG0003652	1	1
OG0003653	1	1
OG0003654	1	1
OG0003655	2	2
OG0003656	2	2
OG0003657	1	1
OG0003658	1	1
OG0003659	1	1
OG0003660	1	1
OG0003661	1	1
OG0003662	1	1
OG0003663	1	1
OG0003664	1	1
OG0003665	1	1
OG0003666	1	1
OG0003667	0	0
OG0003668	1	0
OG0003669	1	1
OG0003670	1	1
OG0003671	1	1
OG0003672	1	1
OG0003673	1	1
OG0003674	1	1
OG0003675	2	1
OG0003676	1	1
OG0003677	1	1
OG0003678	1	1
OG0003679	1	0
OG0003680	1	1
OG0003681	1	1
OG0003682	2	1
OG0003683	2	2
OG0003684	2	1
OG0003685	3	3
OG0003686	1	1
OG0003687	1	1
OG0003688	3	1
OG0003689	1	1
OG0003690	1	1
OG0003691	2	2
OG0003692	3	3
OG0003693	2	2
OG0003694	1	1
OG0003695	1	1
OG0003696	1	1
OG0003697	1	1
OG0003698	1	1
OG0003699	1	1
OG0003700	1	0
OG0003701	1	1
OG0003702	1	1
OG0003703	1	1
OG0003704	1	1
OG0003705	1	1
OG0003706	1	1
OG0003707	1	1
OG0003708	1	1
OG0003709	1	1
OG0003710	1	1
OG0003711	1	1
OG0003712	1	1
OG0003713	1	1
OG0003714	1	1
OG0003715	1	1
OG0003716	1	1
OG0003717	1	1
OG0003718	1	0
OG0003719	1	1
OG0003720	3	2
OG0003721	0	0
OG0003722	0	0
OG0003723	1	1
OG0003724	1	1
OG0003725	1	1
OG0003726	1	1
OG0003727	1	1
OG0003728	1	1
OG0003729	1	1
OG0003730	1	1
OG0003731	0	0
OG0003732	0	0
OG0003733	0	0
OG0003734	2	2
OG0003735	2	2
OG0003736	2	2
OG0003737	1	1
OG0003738	1	1
OG0003739	2	2
OG0003740	1	1
OG0003741	1	1
OG0003742	1	0
OG0003743	1	0
OG0003744	1	1
OG0003745	1	1
OG0003746	1	1
OG0003747	1	0
OG0003748	1	1
OG0003749	1	1
OG0003750	1	1
OG0003751	1	1
OG0003752	1	1
OG0003753	1	1
OG0003754	1	1
OG0003755	1	1
OG0003756	2	2
OG0003757	1	1
OG0003758	1	1
OG0003759	1	1
OG0003760	1	0
OG0003761	1	1
OG0003762	1	1
OG0003763	1	0
OG0003764	1	1
OG0003765	1	1
OG0003766	0	0
OG0003767	1	1
OG0003768	1	1
OG0003769	1	0
OG0003770	1	1
OG0003771	1	1
OG0003772	1	1
OG0003773	1	1
OG0003774	1	0
OG0003775	0	0
OG0003776	1	0
OG0003777	6	6
OG0003778	1	1
OG0003779	1	1
OG0003780	1	1
OG0003781	1	1
OG0003782	1	1
OG0003783	1	1
OG0003784	1	1
OG0003785	1	0
OG0003786	1	1
OG0003787	1	0
OG0003788	1	1
OG0003789	1	1
OG0003790	1	1
OG0003791	1	1
OG0003792	1	1
OG0003793	1	1
OG0003794	3	3
OG0003795	1	1
OG0003796	1	1
OG0003797	1	1
OG0003798	1	1
OG0003799	1	1
OG0003800	1	1
OG0003801	1	1
OG0003802	1	1
OG0003803	1	1
OG0003804	1	1
OG0003805	1	1
OG0003806	1	1
OG0003807	1	1
OG0003808	1	1
OG0003809	1	0
OG0003810	1	1
OG0003811	1	1
OG0003812	1	1
OG0003813	1	1
OG0003814	1	1
OG0003815	1	1
OG0003816	2	2
OG0003817	1	0
OG0003818	1	1
OG0003819	0	0
OG0003820	1	1
OG0003821	1	0
OG0003822	1	1
OG0003823	2	2
OG0003824	1	1
OG0003825	2	2
OG0003826	2	2
OG0003827	2	2
OG0003828	2	2
OG0003829	2	2
OG0003830	1	1
OG0003831	1	0
OG0003832	1	1
OG0003833	1	1
OG0003834	1	1
OG0003835	1	1
OG0003836	1	1
OG0003837	1	1
OG0003838	1	1
OG0003839	1	1
OG0003840	1	1
OG0003841	1	1
OG0003842	1	1
OG0003843	3	1
OG0003844	1	1
OG0003845	1	1
OG0003846	1	1
OG0003847	1	1
OG0003848	3	3
OG0003849	2	2
OG0003850	1	1
OG0003851	1	1
OG0003852	1	1
OG0003853	1	1
OG0003854	2	2
OG0003855	1	1
OG0003856	1	1
OG0003857	2	2
OG0003858	1	1
OG0003859	1	1
OG0003860	1	0
OG0003861	1	1
OG0003862	1	0
OG0003863	1	0
OG0003864	1	1
OG0003865	1	1
OG0003866	1	1
OG0003867	1	0
OG0003868	1	0
OG0003869	1	1
OG0003870	2	2
OG0003871	1	1
OG0003872	1	1
OG0003873	1	1
OG0003874	1	1
OG0003875	1	1
OG0003876	1	1
OG0003877	1	1
OG0003878	1	1
OG0003879	1	1
OG0003880	1	1
OG0003881	1	0
OG0003882	0	0
OG0003883	1	1
OG0003884	1	1
OG0003885	1	1
OG0003886	1	1
OG0003887	1	1
OG0003888	2	2
OG0003889	1	1
OG0003890	1	1
OG0003891	1	1
OG0003892	1	1
OG0003893	1	1
OG0003894	1	1
OG0003895	1	1
OG0003896	1	1
OG0003897	1	1
OG0003898	1	1
OG0003899	1	1
OG0003900	1	1
OG0003901	1	1
OG0003902	2	2
OG0003903	1	1
OG0003904	1	1
OG0003905	2	2
OG0003906	2	2
OG0003907	1	1
OG0003908	1	1
OG0003909	1	1
OG0003910	1	1
OG0003911	1	1
OG0003912	0	0
OG0003913	2	2
OG0003914	1	1
OG0003915	1	1
OG0003916	1	0
OG0003917	1	1
OG0003918	2	1
OG0003919	1	0
OG0003920	1	1
OG0003921	1	1
OG0003922	1	0
OG0003923	0	0
OG0003924	1	1
OG0003925	1	0
OG0003926	6	6
OG0003927	1	1
OG0003928	2	2
OG0003929	1	1
OG0003930	0	0
OG0003931	1	0
OG0003932	1	0
OG0003933	1	0
OG0003934	1	1
OG0003935	1	1
OG0003936	1	0
OG0003937	1	1
OG0003938	1	1
OG0003939	1	1
OG0003940	2	1
OG0003941	3	3
OG0003942	1	1
OG0003943	1	1
OG0003944	1	1
OG0003945	1	1
OG0003946	2	2
OG0003947	1	1
OG0003948	1	0
OG0003949	1	1
OG0003950	1	1
OG0003951	2	1
OG0003952	1	1
OG0003953	1	1
OG0003954	1	1
OG0003955	1	1
OG0003956	1	1
OG0003957	1	1
OG0003958	1	1
OG0003959	1	1
OG0003960	1	1
OG0003961	1	1
OG0003962	1	1
OG0003963	1	1
OG0003964	1	1
OG0003965	1	1
OG0003966	1	1
OG0003967	2	2
OG0003968	1	1
OG0003969	6	5
OG0003970	1	1
OG0003971	1	0
OG0003972	0	0
OG0003973	1	0
OG0003974	1	1
OG0003975	1	1
OG0003976	1	1
OG0003977	1	1
OG0003978	1	1
OG0003979	1	0
OG0003980	1	0
OG0003981	2	1
OG0003982	1	1
OG0003983	2	2
OG0003984	1	0
OG0003985	2	2
OG0003986	2	1
OG0003987	2	1
OG0003988	0	0
OG0003989	1	0
OG0003990	1	0
OG0003991	1	1
OG0003992	0	0
OG0003993	1	1
OG0003994	1	1
OG0003995	1	1
OG0003996	1	1
OG0003997	1	1
OG0003998	2	1
OG0003999	1	1
OG0004000	1	1
OG0004001	2	1
OG0004002	1	1
OG0004003	2	2
OG0004004	1	0
OG0004005	1	1
OG0004006	1	1
OG0004007	1	1
OG0004008	1	1
OG0004009	1	1
OG0004010	1	1
OG0004011	1	1
OG0004012	1	1
OG0004013	1	0
OG0004014	1	1
OG0004015	1	1
OG0004016	2	2
OG0004017	2	2
OG0004018	2	2
OG0004019	2	2
OG0004020	1	1
OG0004021	1	1
OG0004022	1	1
OG0004023	2	2
OG0004024	1	1
OG0004025	1	1
OG0004026	2	2
OG0004027	1	1
OG0004028	2	2
OG0004029	1	1
OG0004030	1	1
OG0004031	1	1
OG0004032	1	0
OG0004033	1	1
OG0004034	2	2
OG0004035	1	1
OG0004036	1	1
OG0004037	1	1
OG0004038	0	0
OG0004039	2	2
OG0004040	1	1
OG0004041	1	1
OG0004042	1	1
OG0004043	3	3
OG0004044	1	1
OG0004045	1	1
OG0004046	1	1
OG0004047	1	1
OG0004048	2	2
OG0004049	1	1
OG0004050	2	2
OG0004051	0	0
OG0004052	1	0
OG0004053	1	1
OG0004054	1	1
OG0004055	1	1
OG0004056	1	1
OG0004057	1	1
OG0004058	1	1
OG0004059	1	1
OG0004060	1	1
OG0004061	1	1
OG0004062	1	1
OG0004063	1	1
OG0004064	1	1
OG0004065	1	1
OG0004066	2	1
OG0004067	1	1
OG0004068	1	1
OG0004069	1	1
OG0004070	1	1
OG0004071	2	2
OG0004072	2	2
OG0004073	1	1
OG0004074	2	2
OG0004075	1	1
OG0004076	0	0
OG0004077	1	1
OG0004078	1	1
OG0004079	1	1
OG0004080	1	1
OG0004081	1	1
OG0004082	1	1
OG0004083	1	0
OG0004084	1	1
OG0004085	1	1
OG0004086	1	1
OG0004087	1	1
OG0004088	1	1
OG0004089	1	0
OG0004090	1	1
OG0004091	1	1
OG0004092	1	1
OG0004093	1	1
OG0004094	1	0
OG0004095	1	1
OG0004096	1	1
OG0004097	1	1
OG0004098	1	1
OG0004099	1	1
OG0004100	1	1
OG0004101	1	1
OG0004102	1	1
OG0004103	1	1
OG0004104	1	1
OG0004105	1	0
OG0004106	1	1
OG0004107	1	1
OG0004108	1	1
OG0004109	1	1
OG0004110	1	0
OG0004111	1	1
OG0004112	1	1
OG0004113	1	1
OG0004114	1	1
OG0004115	1	1
OG0004116	1	1
OG0004117	1	1
OG0004118	1	1
OG0004119	1	1
OG0004120	1	0
OG0004121	1	0
OG0004122	1	1
OG0004123	1	1
OG0004124	2	2
OG0004125	2	2
OG0004126	1	1
OG0004127	1	1
OG0004128	1	1
OG0004129	1	1
OG0004130	1	1
OG0004131	1	1
OG0004132	1	0
OG0004133	1	1
OG0004134	1	0
OG0004135	1	0
OG0004136	1	1
OG0004137	2	2
OG0004138	3	3
OG0004139	2	1
OG0004140	1	1
OG0004141	1	1
OG0004142	1	1
OG0004143	1	1
OG0004144	1	1
OG0004145	1	1
OG0004146	1	1
OG0004147	1	1
OG0004148	1	1
OG0004149	3	3
OG0004150	1	1
OG0004151	1	1
OG0004152	1	1
OG0004153	1	0
OG0004154	1	0
OG0004155	1	0
OG0004156	1	1
OG0004157	1	0
OG0004158	0	0
OG0004159	1	1
OG0004160	0	0
OG0004161	1	1
OG0004162	1	1
OG0004163	0	0
OG0004164	1	0
OG0004165	1	1
OG0004166	1	1
OG0004167	1	1
OG0004168	1	1
OG0004169	1	1
OG0004170	1	1
OG0004171	1	1
OG0004172	1	1
OG0004173	1	1
OG0004174	1	1
OG0004175	1	0
OG0004176	1	1
OG0004177	1	0
OG0004178	1	1
OG0004179	1	1
OG0004180	2	1
OG0004181	1	1
OG0004182	0	0
OG0004183	1	0
OG0004184	1	1
OG0004185	1	1
OG0004186	1	1
OG0004187	1	1
OG0004188	1	1
OG0004189	1	1
OG0004190	1	1
OG0004191	1	1
OG0004192	1	1
OG0004193	1	1
OG0004194	0	0
OG0004195	1	1
OG0004196	1	1
OG0004197	1	1
OG0004198	1	1
OG0004199	1	0
OG0004200	1	1
OG0004201	1	1
OG0004202	1	1
OG0004203	1	1
OG0004204	1	1
OG0004205	1	1
OG0004206	1	1
OG0004207	1	1
OG0004208	1	1
OG0004209	2	2
OG0004210	1	1
OG0004211	1	1
OG0004212	1	1
OG0004213	1	1
OG0004214	1	1
OG0004215	1	1
OG0004216	1	1
OG0004217	1	1
OG0004218	1	1
OG0004219	1	1
OG0004220	1	0
OG0004221	1	1
OG0004222	1	1
OG0004223	1	1
OG0004224	1	1
OG0004225	0	0
OG0004226	1	1
OG0004227	1	1
OG0004228	1	1
OG0004229	1	0
OG0004230	0	0
OG0004231	0	0
OG0004232	1	1
OG0004233	1	1
OG0004234	1	1
OG0004235	1	1
OG0004236	1	1
OG0004237	1	0
OG0004238	1	0
OG0004239	2	2
OG0004240	1	1
OG0004241	1	1
OG0004242	1	1
OG0004243	1	1
OG0004244	1	1
OG0004245	1	1
OG0004246	1	1
OG0004247	1	1
OG0004248	2	2
OG0004249	1	1
OG0004250	1	1
OG0004251	1	1
OG0004252	1	1
OG0004253	2	2
OG0004254	1	1
OG0004255	1	1
OG0004256	1	1
OG0004257	1	0
OG0004258	1	1
OG0004259	1	1
OG0004260	2	1
OG0004261	1	1
OG0004262	1	1
OG0004263	1	1
OG0004264	1	1
OG0004265	1	1
OG0004266	1	1
OG0004267	1	1
OG0004268	1	1
OG0004269	1	1
OG0004270	3	3
OG0004271	1	1
OG0004272	1	1
OG0004273	1	0
OG0004274	1	1
OG0004275	1	1
OG0004276	1	1
OG0004277	0	0
OG0004278	1	1
OG0004279	1	1
OG0004280	1	0
OG0004281	1	1
OG0004282	1	1
OG0004283	1	1
OG0004284	3	0
OG0004285	1	1
OG0004286	1	1
OG0004287	1	1
OG0004288	1	1
OG0004289	2	0
OG0004290	1	1
OG0004291	1	1
OG0004292	1	1
OG0004293	1	1
OG0004294	4	4
OG0004295	1	1
OG0004296	1	1
OG0004297	1	1
OG0004298	1	1
OG0004299	1	1
OG0004300	1	1
OG0004301	1	1
OG0004302	1	1
OG0004303	1	1
OG0004304	1	1
OG0004305	1	1
OG0004306	1	1
OG0004307	1	0
OG0004308	1	1
OG0004309	1	1
OG0004310	1	0
OG0004311	0	0
OG0004312	1	1
OG0004313	1	1
OG0004314	1	1
OG0004315	2	2
OG0004316	1	1
OG0004317	0	0
OG0004318	1	1
OG0004319	1	1
OG0004320	1	1
OG0004321	1	1
OG0004322	1	1
OG0004323	1	1
OG0004324	1	1
OG0004325	1	1
OG0004326	1	1
OG0004327	1	1
OG0004328	1	1
OG0004329	1	1
OG0004330	2	2
OG0004331	1	1
OG0004332	1	1
OG0004333	1	1
OG0004334	1	1
OG0004335	1	1
OG0004336	1	1
OG0004337	1	1
OG0004338	1	0
OG0004339	1	0
OG0004340	1	1
OG0004341	1	1
OG0004342	1	1
OG0004343	1	1
OG0004344	1	1
OG0004345	1	1
OG0004346	1	1
OG0004347	1	0
OG0004348	1	1
OG0004349	0	0
OG0004350	1	1
OG0004351	1	1
OG0004352	1	1
OG0004353	1	1
OG0004354	1	1
OG0004355	1	1
OG0004356	1	1
OG0004357	7	5
OG0004358	1	1
OG0004359	1	0
OG0004360	1	1
OG0004361	1	1
OG0004362	1	1
OG0004363	1	1
OG0004364	1	1
OG0004365	1	1
OG0004366	1	1
OG0004367	1	1
OG0004368	1	1
OG0004369	1	0
OG0004370	1	1
OG0004371	1	1
OG0004372	2	1
OG0004373	1	0
OG0004374	1	1
OG0004375	1	1
OG0004376	1	1
OG0004377	1	1
OG0004378	1	1
OG0004379	1	1
OG0004380	1	1
OG0004381	1	1
OG0004382	1	1
OG0004383	1	0
OG0004384	1	1
OG0004385	1	1
OG0004386	1	1
OG0004387	1	1
OG0004388	1	0
OG0004389	1	1
OG0004390	1	1
OG0004391	1	0
OG0004392	1	1
OG0004393	1	1
OG0004394	1	1
OG0004395	1	1
OG0004396	1	1
OG0004397	1	1
OG0004398	1	1
OG0004399	1	0
OG0004400	1	1
OG0004401	1	1
OG0004402	1	1
OG0004403	1	1
OG0004404	1	1
OG0004405	1	1
OG0004406	2	1
OG0004407	1	1
OG0004408	1	1
OG0004409	1	0
OG0004410	1	1
OG0004411	1	0
OG0004412	1	1
OG0004413	1	1
OG0004414	1	1
OG0004415	1	1
OG0004416	1	1
OG0004417	1	0
OG0004418	1	1
OG0004419	1	1
OG0004420	1	0
OG0004421	1	1
OG0004422	1	1
OG0004423	1	1
OG0004424	1	1
OG0004425	1	1
OG0004426	1	1
OG0004427	1	1
OG0004428	1	1
OG0004429	2	2
OG0004430	1	1
OG0004431	1	1
OG0004432	1	1
OG0004433	1	1
OG0004434	0	0
OG0004435	1	0
OG0004436	0	0
OG0004437	1	1
OG0004438	1	1
OG0004439	1	1
OG0004440	1	1
OG0004441	1	1
OG0004442	1	1
OG0004443	1	1
OG0004444	1	1
OG0004445	1	1
OG0004446	1	1
OG0004447	1	1
OG0004448	1	1
OG0004449	1	1
OG0004450	1	1
OG0004451	1	1
OG0004452	1	1
OG0004453	1	1
